1	2	135
2	1	135
1	3	290
3	1	290
1	4	142
4	1	142
2	3	176
3	2	176
2	12	313
12	2	313
3	6	152
6	3	152
4	5	157
5	4	157
4	6	267
6	4	267
5	8	143
8	5	143
5	25	110
25	5	110
5	27	263
27	5	263
6	9	114
9	6	114
6	10	102
10	6	102
6	12	111
12	6	111
7	8	52
8	7	52
7	9	89
9	7	89
7	20	138
20	7	138
7	25	110
25	7	110
8	9	99
9	8	99
9	10	107
10	9	107
9	18	194
18	9	194
10	11	114
11	10	114
10	16	126
16	10	126
11	12	101
12	11	101
11	13	154
13	11	154
11	16	142
16	11	142
13	14	214
14	13	214
13	15	145
15	13	145
13	16	133
16	13	133
14	15	84
15	14	84
14	17	193
17	14	193
15	17	133
17	15	133
16	17	129
17	16	129
17	18	140
18	17	140
17	19	154
19	17	154
18	19	81
19	18	81
18	20	129
20	18	129
19	20	142
20	19	142
19	21	102
21	19	102
20	21	137
21	20	137
20	26	156
26	20	156
21	22	119
22	21	119
22	23	130
23	22	130
22	24	141
24	22	141
23	24	152
24	23	152
23	26	92
26	23	92
23	28	114
28	23	114
24	30	224
30	24	224
25	26	156
26	25	156
25	27	226
27	25	226
25	28	223
28	25	223
27	28	197
28	27	197
27	29	155
29	27	155
28	29	125
29	28	125
28	30	156
30	28	156
29	30	129
30	29	129
